PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,RESPONSE_VALUE,Z_PRIME
RESULT_TYPE,,,,,,,,FLOAT,FLOAT
RESULT_DESCR,,,,,,,,Percent inhibition of efflux pump,Z prime screening statistics parameter
RESULT_UNIT,,,,,,,,PERCENT,NONE
RESULT_ATTR_CONC_MICROMOL,,,,,,,,6.6,
1,846127,648498,C1CN(CCN1C2=CC(=NC3=NC=NN23)C4=CC=CC=C4)S(=O)(=O)C5=CC=C(C=C5)Br,Active,60,,,59.88,0.855
2,846572,648964,CC1=C2C(=CC=C1)C=C(C(=O)N2)CN(CC3=CC=CS3)C(C4=NN=NN4C5CCCC5)C(C)C,Active,62,,,61.67,0.855
3,857352,135449555,CCCCCCC1=C(C=C2C(=C1)C=C(C(=O)O2)C3=NN=C(O3)C4=CC=CC=C4O)O,Active,48,,,48.43,0.617
4,857882,659226,CCOC(=O)C(C1=C2C3=C(C4=CC=CC=C4C2=O)ON=C3C(=C1)Br)C(=O)OCC,Active,100,,,156,0.854
5,860473,661762,C1CN(CCN1CC2=CC=CC=C2)C3=NC(=NC4=CC=CC=C43)C5=CC=CC=N5,Active,48,,,47.97,0.738
6,861161,662423,CCOC(=O)N1CCN(CC1)/C=C(\C#N)/C2=NC3=CC=CC=C3S2,Active,64,,,63.98,0.887
7,861697,662933,CCCCCN1C(=NC2=C1C(=O)N(C(=O)N2C)C)CN3CCN(CC3)CC4=CC=CC=C4,Active,57,,,56.55,0.864
8,863875,665127,CCN1C2=C(C=C(C=C2)OC)C3(C1=O)NC4=CC=CC=C4C5=NC6=CC=CC=C6N35,Active,53,,,53.46,0.859
9,3717075,1133587,CC(C)[C@@H](C(=O)O)NS(=O)(=O)C1=CC=C(C=C1)OC,Active,54,,,53.79,0.646
10,4242633,3237462,CN1CCN(CC1)C2=CC=CC=C2NC(=O)C3=CC4=C(O3)N=C5C=C(C=CC5=C4)OC,Active,47,,,47.15,0.76
11,4242811,3237620,C1CN(CCN1CCCN2C(=O)C3=C(C=CC(=C3)N4CCOCC4)NC2=S)C5=CC=CC=C5F,Active,53,,,53.09,0.71
12,4244400,5938244,CN(C)C1=CC=C(C=C1)/C=C\2/C(=O)N3C(=NC(=N3)C4=CC=CC=C4)S2,Active,46,,,45.85,0.824
13,4244548,2135723,C1CC2=C3C(=C4C(=C2)C=C(C(=N)O4)C(=O)NC5=CC=CC=C5)CCCN3C1,Active,100,,,131.17,0.747
14,4245654,3240101,COC1=CC=C(C=C1)N2CCN(CC2)C(=O)C3CCC(CC3)CN4C(=O)C5=CC=CC=C5NC4=S,Active,41,,,40.92,0.845
15,4248843,3242866,CCCN(CCC)C(=O)CSC1=NC2=CC=CC=C2C(=O)N1C3CCCC3,Active,52,,,52.18,0.856
16,4263110,892092,CC1=NN=C(S1)SCC(=O)N2CCC3=CC=CC=C32,Active,43,,,42.91,0.646
17,4265270,892182,CCOC1=CC=C(C=C1)OCC2=CC=C(O2)C(=O)N3CCCC3,Active,41,,,41.35,0.646
18,7972456,2911999,CC1=CC(=C(C=C1)OCC(CN2CCN(CC2)CC(COC3=C(C=C(C=C3)C)Cl)O)O)Cl,Active,77,,,77.35,0.626
19,14723512,1796110,CCCCNC1=C2C3=CC=CC=C3C(=O)C4=C2C(=CC=C4)N(C1=O)C,Active,66,,,65.71,0.89
20,14723529,594763,C1=CC=C(C=C1)C2=CC(=O)NN2,Active,82,,,81.91,0.576
21,14723580,3138601,CN(C)C1=NC(=NC(=N1)OCCNC(=O)COC2=C(C=C(C=C2)Cl)Cl)N(C)C,Active,61,,,61.15,0.814
22,14728608,9556031,C[C@H]1CC[C@H](N([C@@H]1C2=CC=C(C=C2)C)C(=O)C3=CC=C(C=C3)/C=N/O[C@@H](C)C4=CN(N=N4)[C@@H](CC5=CC=CC=C5)CO)C(=O)OC,Active,42,,,42.49,0.565
23,14731086,135474141,C1=CC=C(C=C1)/C(=C/C2=NC3=CC=CC=C3N(C2=O)C4=CC=CC=C4)/O,Active,45,,,45.21,0.834
24,14732224,6624259,CCC1=CC=C(C=C1)NC(=O)CSC2=NC3=CC=CC=C3C(=O)N2CCCC(=O)N4CCCC4,Active,71,,,71.28,0.738
25,14733849,2185720,CCN(CC)C1=CC=C(C=C1)/C=C\2/C(=O)N3C(=NN=C3S2)C4=CC=CC=C4Cl,Active,60,,,59.71,0.806
26,14734281,6622826,CCOC(=O)C1=CN2C(=CC(=N2)C3=CC=C(C=C3)OC)N=C1C4CCN(CC4)C(=O)OC(C)(C)C,Active,51,,,51.09,0.786
